"","GSM505331","GSM505333","GSM505335","GSM505336","GSM505340","GSM505341","GSM505342","GSM505343","GSM505344","GSM505345","GSM505349","GSM505350","GSM505351","GSM505356","GSM505357","GSM505358","GSM505359","GSM505360","GSM505369","GSM505370","GSM505372","GSM505373","GSM505376","GSM505380","GSM505386","GSM505400","GSM505411","GSM505413","GSM505416","GSM505417","GSM505418","GSM505419","GSM505421","GSM505423","GSM505425","GSM505428","GSM505432","GSM505434","GSM505435","GSM505447","GSM505450","GSM505454","GSM505459","GSM505460","GSM505466","GSM505467","GSM505475","GSM505476","GSM505478","GSM505487"
"218807_at",9.431,10.4322,10.2316,10.6392,10.5185,10.1134,10.5153,10.9975,10.4554,9.3621,9.4642,8.2852,9.4746,9.5097,11.5272,7.8797,8.9031,8.4921,9.3224,9.6071,10.0948,10.0707,10.704,9.0201,9.3795,9.7894,10.7465,8.0546,11.4381,10.2629,10.2956,10.9605,7.8809,8.6093,10.3818,8.9932,11.5946,11.1546,9.332,9.87,9.841,10.7794,10.7029,9.574,10.2141,8.6119,10.5506,10.5007,10.1054,11.2296
"221765_at",8.6269,6.9932,7.9864,8.2455,8.3369,7.9097,8.9592,6.9937,8.1902,6.6231,7.6985,8.3157,7.6277,7.3754,8.2982,7.8555,6.345,7.7467,6.9921,7.5935,7.9526,8.1815,7.7591,9.0158,8.3823,9.3451,7.5894,7.55,8.8626,7.9049,7.4446,7.0805,8.4115,7.3782,9.5089,8.1103,8.1698,8.3259,8.756,8.6357,8.1867,7.7611,8.9847,8.5595,8.6297,8.1586,9.0007,9.7011,10.432,10.4512
"203628_at",6.2417,8.1707,6.8459,8.0509,7.6174,8.2848,6.3248,7.8213,10.7013,6.6642,4.6809,7.168,8.3783,4.9963,6.7392,7.6927,7.1012,8.0613,9.4743,8.5987,7.0101,4.1982,9.0128,7.5772,6.2579,6.2098,4.347,9.4931,9.4591,7.6975,7.6028,6.7144,7.6682,8.7209,7.5281,8.0245,8.9242,7.4093,6.0633,7.1049,7.9148,7.0799,5.9113,9.4807,7.4771,9.2369,7.6683,8.8261,8.7811,7.2608
"218976_at",8.3815,7.2006,6.4906,6.5483,8.7117,7.8846,8.4101,7.5265,9.4474,8.158,8.3231,6.78,6.5949,6.8841,5.9129,6.9845,9.8653,4.8141,7.3543,6.869,8.0287,8.6296,7.8649,8.6673,5.6748,8.0457,7.2522,8.3964,8.8678,6.0266,8.6458,7.7584,4.3355,5.5374,7.8091,8.3689,9.9727,8.4079,4.9993,8.7195,7.8373,4.4605,8.833,6.4287,7.2908,3.8698,7.872,10.8249,9.2906,7.0498
"212208_at",9.4609,9.3862,8.9967,8.9115,9.7169,9.796,9.377,8.8874,9.2328,9.7908,8.8704,9.0945,9.8257,9.2941,9.8066,9.0369,8.8103,9.7525,8.5508,9.5046,8.9231,9.3753,9.4974,8.821,9.4157,7.807,9.6659,9.7733,9.9131,9.9265,8.9543,9.1756,9.7029,10.1827,8.797,9.2004,9.7082,9.9655,9.609,9.3214,8.7007,8.5252,8.9566,8.8417,9.1369,8.7677,8.6811,9.6029,9.5434,9.3312
"212148_at",10.2655,9.3949,10.2657,9.8665,10.4846,10.5958,11.2868,9.2244,11.5945,8.2524,11.0426,8.9488,9.096,8.5953,10.7819,9.6663,9.5647,10.0428,9.4481,9.7944,9.4249,10.0333,9.4503,11.5574,10.1212,8.6597,9.2846,8.9573,10.1491,9.0929,8.4598,9.8703,9.9724,11.8537,11.3155,8.9841,10.4579,10.4945,7.6639,10.1673,10.1096,9.6189,10.51,9.5824,9.025,9.0949,9.0783,9.9724,9.8991,8.6812
"204863_s_at",7.8701,8.1947,7.7218,6.9864,8.1566,9.0422,8.9011,7.5339,9.6556,9.1329,7.1922,8.5096,8.1448,8.0287,7.4103,8.4199,7.3272,8.4059,7.7077,7.949,8.7409,8.1693,7.5126,7.9706,4.4275,7.5862,6.8914,7.7519,9.2462,7.1489,7.9062,7.6007,8.1752,5.7417,4.8168,8.6972,8.8926,8.4934,9.0224,8.167,7.6829,7.5474,7.8544,9.2298,9.2037,7.4192,7.5542,9.3138,10.1924,7.0117
"222125_s_at",8.7941,9.299,10.035,8.4818,10.2115,10.7775,10.5156,8.9991,10.2023,9.4935,9.838,9.4123,9.3849,9.3104,9.7792,9.5245,9.487,8.9075,9.7875,9.8829,10.1992,10.3494,9.9182,10.3432,10.5897,9.7972,8.8235,9.9038,10.3259,9.47,8.5795,9.7278,9.8962,9.2409,10.0344,10.1382,10.6082,9.8317,9.6282,10.1908,9.9889,7.67,10.1597,8.3502,8.4611,9.8541,9.803,9.5952,9.6149,9.809
"212195_at",9.282,9.055,9.6723,8.5528,9.3846,10.8553,9.9773,9.8942,11.6532,8.9414,9.0738,10.0313,8.8029,9.9126,8.6073,9.5308,8.9099,10.3064,9.0385,9.9881,10.2378,9.7338,7.6908,9.9765,8.0674,9.5489,9.4479,9.668,11.3869,9.5856,9.4533,7.7427,8.6251,8.1236,8.6502,10.4413,11.2346,8.3247,10.9253,8.028,9.61,9.0962,9.6868,11.1943,10.7018,10.3491,10.3303,11.9811,12.4413,8.9224
"212196_at",8.1949,7.9229,8.709,7.2873,7.96,9.1967,7.9186,8.5654,9.9328,8.443,7.4955,8.9306,8.3767,8.1316,7.3259,8.3052,8.0438,9.2368,7.7907,8.8659,9.31,8.5608,8.058,8.3936,7.5309,8.8457,7.2141,8.272,9.3,8.2293,5.5412,7.0134,6.99,7.0976,6.7802,8.9692,9.5246,8.1576,9.8442,6.9392,8.0531,7.4045,8.7655,10.1385,9.6773,8.6037,8.761,10.8757,11.3877,8.1374
