"","Model","AUCMEAN","ROCRAUCMEAN","AUC","ROCRAUC"
"58","798","0.599573719770798","0.530114626826991","0.512733069897307","0.512733069897308"
"59","421","0.588905651308902","0.522799145567625","0.512604408215418","0.512604408215419"
"60","148","0.590324841414068","0.517025762379211","0.511516329681511","0.51151632968151"
"61","150","0.588159378625903","0.529110560205761","0.511507086744593","0.511507086744594"
"62","426","0.588013776342337","0.521706147402935","0.510465222895272","0.510465222895273"
"63","702","0.585564864341204","0.528664934444032","0.509771632908996","0.509771632908996"
"64","137","0.54747737498659","0.514478147500182","0.490354810468033","0.509645189531967"
"65","215","0.58648325836208","0.517118141076974","0.509230366523118","0.509230366523118"
"66","760","0.564303846410512","0.515059972368747","0.490814369291562","0.509185630708438"
"67","777","0.586770686811612","0.522869092072072","0.509107620320856","0.509107620320856"
"68","211","0.592214367709675","0.5193764364058","0.508150791491174","0.508150791491175"
"69","666","0.598660441492775","0.522280550256847","0.491941637877999","0.508058362122001"
"70","768","0.594244227365986","0.520389306641","0.507687905210354","0.507687905210355"
"71","572","0.579082959828413","0.518729083062191","0.492393432634518","0.507606567365482"
"72","583","0.581224293022402","0.534469540729917","0.507574771662486","0.507574771662486"
"73","146","0.582322146091496","0.520331864429001","0.50706012493493","0.507060124934929"
"74","764","0.589919927688697","0.514179130073286","0.506849385973215","0.506849385973215"
"75","425","0.583823023150955","0.517390988327763","0.506842731058634","0.506842731058634"
"76","571","0.562220301913679","0.508664458240382","0.4933994338886","0.5066005661114"
"77","576","0.575145292857512","0.524201465511111","0.506447133358573","0.506447133358573"
"78","22","0.578810576838416","0.505695579746155","0.506355073706876","0.506355073706876"
"79","781","0.562787017625084","0.514015294765899","0.493906316549146","0.506093683450854"
"80","6","0.57299814726861","0.504458719637561","0.505963542899058","0.505963542899058"
"81","130","0.560734613964538","0.508726853357126","0.494050136647579","0.505949863352421"
"82","750","0.593859595634557","0.52058980728021","0.494497864511855","0.505502135488145"
"83","40","0.596493544205909","0.512961963450063","0.504479496947613","0.504479496947613"
"84","784","0.590356305006411","0.525994039888632","0.495817016468695","0.504182983531305"
"85","574","0.585337596442086","0.513605289261249","0.495956030239932","0.504043969760068"
"86","778","0.605263427726349","0.504680193837774","0.503831751928446","0.50383138221097"
"87","382","0.578723647640951","0.509690690097835","0.496410413018788","0.503589586981212"
"88","788","0.560686876712612","0.511187383895201","0.496616345653306","0.503383654346694"
"89","274","0.576211145556298","0.504051003140593","0.503188073801524","0.503188073801524"
"90","834","0.589947964139189","0.513118113434338","0.496977189910558","0.503022810089442"
"91","216","0.581049811443","0.510970641075614","0.503020591784582","0.503020591784582"
"92","172","0.553429957919582","0.503936703333109","0.49733803416781","0.50266196583219"
"93","64","0.578983135546192","0.502658609202509","0.502538480194974","0.502538480194975"
"94","163","0.58330195727153","0.528872730588626","0.502111456509394","0.502111456509394"
"95","442","0.604725595335285","0.496009597121754","0.501737672140457","0.501737672140458"
"96","765","0.598132943636959","0.516913443127936","0.498334792484975","0.501665207515025"
"97","134","0.589807966779523","0.506611806662407","0.500344576688278","0.500344576688279"
"98","214","0.564888910519377","0.504196325527256","0.499721972457527","0.500278027542473"
"99","357","0.585538411209319","0.510393834108859","0.49976633855473","0.50023366144527"
"100","190","0.586238287065711","0.505045476896362","0.500303907765842","0.499650247267048"
"101","484","0.589764941145456","0.492873107334988","0.500445139841938","0.499554860158062"
"102","136","0.581650540521284","0.516476756466501","0.49910454427145","0.49910454427145"
"103","360","0.581157790452295","0.515983400446733","0.499083840092755","0.499083840092756"
"104","373","0.577614815026556","0.523459199099655","0.500956089394728","0.499043910605272"
"105","354","0.569674151892999","0.501999718524438","0.5011246805641","0.4988753194359"
"106","355","0.58928456347932","0.51097665483811","0.501364996923951","0.498635003076049"
"107","207","0.567922507453274","0.508166027981092","0.502423498059723","0.497576501940277"
"108","212","0.592693020056676","0.50425899877073","0.502451596587951","0.497548403412048"
"109","153","0.581107308718328","0.508738207843713","0.497536942170271","0.49753694217027"
"110","129","0.588935219357239","0.502132333388719","0.502722599498367","0.497277400501632"
"111","140","0.59480484478327","0.504388229739816","0.503445766882779","0.496554233117221"
"112","3","0.573679968239034","0.501978975944291","0.503470907671194","0.496529092328806"
"113","249","0.571734977849843","0.508773365175237","0.503706787421324","0.496293212578676"
"114","363","0.576968897336109","0.510653263924113","0.503800695660404","0.496199304339595"
"115","71","0.583398110888581","0.497200618591147","0.503814744924518","0.496185255075481"
"116","774","0.554132522461736","0.503224109749434","0.504066522526146","0.495933477473854"
"117","2","0.583771353819075","0.505320061768906","0.504129744214661","0.495870255785339"
"118","106","0.602434394372039","0.493785079068893","0.4950428280725","0.4950428280725"
"119","569","0.575086907648416","0.512420188291778","0.505020763333491","0.494979236666509"
