"","Model","AUCMEAN","ROCRAUCMEAN","AUC","ROCRAUC"
"43","153","0.976431896781839","0.976431896781839","0.973056375300017","0.973056375300018"
"44","349","0.978445933024735","0.978445933024735","0.973049781526297","0.973049781526301"
"45","741","0.976413322627235","0.976413322627235","0.972997763978068","0.972997763978067"
"46","811","0.976455565277015","0.976455565277015","0.972972121524715","0.972972121524715"
"47","622","0.976237832335936","0.976237832335936","0.972925232467156","0.972925232467156"
"48","559","0.977957693255246","0.977957693255246","0.972893728881608","0.972893728881611"
"49","97","0.976912247993808","0.976912247993808","0.972805811898685","0.972805811898684"
"50","330","0.977615077027519","0.977615077027519","0.972742804727589","0.972742804727596"
"51","111","0.975663187243828","0.975663187243828","0.972687123971738","0.972687123971739"
"52","573","0.976611706249332","0.976611706249332","0.972578693026132","0.972578693026131"
"53","363","0.976411339962569","0.976411339962569","0.972550120006682","0.972550120006681"
"54","195","0.975437567785672","0.975437567785672","0.972540595666865","0.972540595666865"
"55","19","0.978928197619374","0.978928197619374","0.972531071327048","0.972531071327058"
"56","783","0.977528450359768","0.977528450359768","0.972524477553329","0.972524477553329"
"57","26","0.97923437694737","0.97923437694737","0.972394067361992","0.972394067361988"
"58","307","0.976017644231557","0.976017644231557","0.972383810380651","0.972383810380651"
"59","755","0.976333679571489","0.976333679571489","0.972355237361201","0.972355237361201"
"60","825","0.975609319746946","0.975609319746946","0.972339851889189","0.97233985188919"
"61","230","0.973433195898028","0.973433195898028","0.972326664341751","0.972326664341752"
"62","517","0.975675082857745","0.975675082857745","0.972226292452913","0.972226292452914"
"63","321","0.975508221770848","0.975508221770848","0.972176472829256","0.972176472829257"
"64","664","0.975856920797855","0.975856920797855","0.972166215847915","0.972166215847915"
"65","181","0.97482268080038","0.97482268080038","0.972135444903892","0.972135444903893"
"66","188","0.976141065880714","0.976141065880714","0.972068774525175","0.972068774525175"
"67","531","0.976043147561288","0.976043147561288","0.971979392259203","0.971979392259203"
"68","839","0.975241359727089","0.975241359727089","0.971919315654205","0.971919315654205"
"69","246","0.977883506811816","0.977883506811816","0.971907593389815","0.971907593389816"
"70","33","0.977732201698872","0.977732201698872","0.971906128106766","0.971906128106772"
"71","398","0.97566512974577","0.97566512974577","0.971893673200852","0.971893673200854"
"72","405","0.975442750443428","0.975442750443428","0.971874624521219","0.97187462452122"
"73","608","0.975391805847446","0.975391805847446","0.97181601319927","0.971816013199271"
"74","159","0.977382541725131","0.977382541725131","0.971810152067075","0.971810152067075"
"75","236","0.977334310349452","0.977334310349452","0.971779381123052","0.971779381123056"
"76","818","0.975817758707223","0.975817758707223","0.971744946971406","0.971744946971406"
"77","391","0.97496064434827","0.97496064434827","0.971703186404518","0.971703186404517"
"78","601","0.974962362367451","0.974962362367451","0.971657029988483","0.971657029988483"
"79","615","0.975729110835487","0.975729110835487","0.971590359609766","0.971590359609766"
"80","440","0.972914234680295","0.972914234680295","0.971522223948","0.971522223948"
"81","524","0.974832150633379","0.974832150633379","0.971474602248916","0.971474602248919"
"82","314","0.974965888185315","0.974965888185315","0.971362508095689","0.97136250809569"
"83","104","0.974787816189229","0.974787816189229","0.971087767524053","0.971087767524054"
"84","201","0.978051542658838","0.978051542658838","0.971060659787651","0.971060659787656"
"85","117","0.978091543856685","0.978091543856685","0.971049670164786","0.971049670164787"
"86","762","0.975011494301694","0.975011494301694","0.97102695827753","0.971026958277529"
